Question,Answer
Who was Richard Wyckoff?,Richard Demille Wyckoff (1873–1934) was a stock market pioneer in the early 20th century who developed a technical approach to studying the stock market.
What was Wyckoff's early career like?,"Wyckoff's career on Wall Street started early; he began as a stock runner at the age of 15. By the age of 25, he owned his brokerage firm."
What did Wyckoff learn as a broker?,"As a broker, Wyckoff was able to observe the actions of large traders. This allowed him to see how large traders, often referred to as ""big operators"", would manipulate the market for profit."
How did Wyckoff feel about retail investors?,Wyckoff saw many retail investors lose money because they didn't understand how the markets really worked. He dedicated himself to educating the public about market manipulation and how to avoid being taken advantage of.
What did Wyckoff do to educate investors?,"Wyckoff was an author, editor, and educator. He wrote several books and published The Magazine of Wall Street, which had over 200,000 subscribers at its peak. He also founded a school, later known as the Stock Market Institute, dedicated to teaching his methods."
Is the Wyckoff Method still relevant today?,"Yes, the Wyckoff method, which codified the best practices of traders like Jesse Livermore, is still relevant today because it is based on the timeless principles of supply and demand."
"What is the ""Composite Man""?","The ""Composite Man"" is a heuristic device used to understand price movements. Wyckoff advised traders to study the markets as if a single entity, the Composite Man, was behind all the price fluctuations."
"What is the benefit of understanding the ""Composite Man""?","Understanding the Composite Man can help traders identify the accumulation and distribution phases of the market cycle, which allows them to enter and exit trades profitably."
How does the Composite Man operate?,"The Composite Man carefully plans, executes, and concludes his campaigns to accumulate or distribute stock in order to manipulate prices for profit."
What is an example of the Composite Man at work?,"The Composite Man will attract public buying into a stock that he has already accumulated, making it look like there is a ""broad market"" when in reality, the price is being artificially inflated."
How can a trader identify the Composite Man's actions?,Traders can learn to interpret the motives behind the Composite Man's actions by carefully studying stock charts.
How many fundamental laws are there in the Wyckoff Method?,The Wyckoff Method rests upon three fundamental laws.
What is Wyckoff's Law of Supply and Demand?,The Law of Supply and Demand states that prices rise when demand is greater than supply and fall when supply is greater than demand.
How does a trader use the Law of Supply and Demand?,Traders use the Law of Supply and Demand by comparing price and volume bars over time to determine who is in control of the market.
What is Wyckoff's Law of Cause and Effect?,The Law of Cause and Effect states that a period of accumulation or distribution (the cause) will be followed by a corresponding price movement (the effect).
How is the Law of Cause and Effect measured?,The Law of Cause and Effect is often measured using Point and Figure charts to determine price targets.
What is Wyckoff's Law of Effort vs. Result?,The Law of Effort vs. Result states that volume should confirm price trends. High volume should accompany strong price moves.
How is the Law of Effort vs. Result used?,Traders use the Law of Effort vs. Result by looking for divergences between volume and price. A divergence can signal a weakening trend and a potential reversal.
What is the Wyckoff Market Cycle?,"The Wyckoff Market Cycle is a visual representation of the Composite Man's manipulation of a market, which consists of four phases: accumulation, markup, distribution, and markdown."
What is accumulation?,Accumulation is a sideways trading range where large operators stealthily accumulate shares at a relatively low price in preparation for a markup.
What is markup?,Markup is a sustained upward price movement driven by increasing demand from both large operators and the public who are drawn in by rising prices.
What is distribution?,"Distribution is a sideways trading range where large operators unload their shares, selling into the demand created by retail investors."
What is markdown?,"Markdown is a sustained downward price movement resulting from large operators selling their shares, often accompanied by negative news and panic selling."
What are the five Wyckoff Phases within a trading range?,The five Wyckoff phases within a trading range are: * Phase A: Stopping of the prior trend. * Phase B: Building a cause. * Phase C: Test. * Phase D: Trend within the range. * Phase E: Trend out of the range.
What happens in Phase A of an accumulation range?,"In Phase A of an accumulation range, the downtrend is halted as large operators start buying, creating preliminary support (PS) and eventually a selling climax (SC)."
What happens in Phase A of a distribution range?,Phase A in a distribution range marks the end of the uptrend as large operators begin selling. Preliminary supply (PSY) and the buying climax (BC) emerge as evidence of their selling.
What happens in Phase B?,"Phase B is where the ""cause"" for the next price move is built. In an accumulation range, large operators continue buying, absorbing supply and creating upward price swings. In a distribution range, they continue selling, creating downward swings."
How does volume behave in Phase B?,"During Phase B, volume on downswings (in accumulation) and upswings (in distribution) tends to decrease as large operators absorb shares."
What happens in Phase C?,"Phase C is the testing phase. In accumulation, this often involves a spring or shakeout, where the price drops below support to trap late sellers. In distribution, it may involve an upthrust after distribution (UTAD), trapping late buyers."
What is the purpose of the testing phase?,The testing phase allows large operators to confirm that they have absorbed enough supply (in accumulation) or distributed enough shares (in distribution) before initiating the next trend.
What happens in Phase D?,Phase D marks the beginning of a confirmed uptrend (in accumulation) or downtrend (in distribution).
What signals the start of Phase D?,Phase D starts after a successful test of supply (in accumulation) or demand (in distribution). The price makes higher highs and higher lows (in accumulation) or lower highs and lower lows (in distribution) on increasing volume and widening spreads.
What happens in Phase E?,"Phase E represents the final stage of the markup (in accumulation) or markdown (in distribution). The price moves out of the trading range, and the trend is readily apparent to everyone."
What are Wyckoff Events?,Wyckoff Events are specific price and volume actions that occur within the trading range and provide clues about the intentions of large operators.
What is Preliminary Support (PS)?,"Preliminary Support (PS) is the first significant sign of buying after a prolonged downtrend. It is often accompanied by increasing volume and widening spreads, suggesting the potential end of the downtrend."
What is the Selling Climax (SC)?,"The Selling Climax (SC) marks the point of maximum selling pressure, often characterized by panic selling from the public. It is typically a high-volume event where large operators absorb the available supply at or near a bottom."
What is the Automatic Rally (AR)?,"The Automatic Rally (AR) is a bounce in price after the selling climax, fueled by short-covering and buying from large operators who are now long the stock."
